run,baseline_macro_f1,biased_macro_f1,delta_macro_f1,bias_cloudy,bias_rainy,bias_snowy,bias_sunny,baseline_f1_cloudy,baseline_f1_rainy,baseline_f1_snowy,baseline_f1_sunny,biased_f1_cloudy,biased_f1_rainy,biased_f1_snowy,biased_f1_sunny,changed_count,corrected_count,regressed_count,changed_wrong_to_wrong_count,baseline_confusion_matrix,biased_confusion_matrix
b0_exact,0.936093,0.936097,0.000004,0.000000,0.350000,-0.100000,0.450000,0.934537,0.901734,0.968153,0.939948,0.934240,0.901734,0.968153,0.940260,4,2,2,0,"414,3,0,14;10,78,1,2;2,1,76,1;29,0,0,360","412,3,0,16;10,78,1,2;2,1,76,1;27,0,0,362"
b3_exact,0.920250,0.928564,0.008314,0.000000,0.650000,-0.850000,0.100000,0.925201,0.892655,0.925000,0.938144,0.926999,0.907104,0.936709,0.943445,9,7,2,0,"402,6,3,20;10,79,1,1;3,1,74,2;23,0,2,364","400,8,3,20;8,83,0,0;3,1,74,2;21,0,1,367"
