run,baseline_macro_f1,biased_macro_f1,delta_macro_f1,bias_cloudy,bias_rainy,bias_snowy,bias_sunny,baseline_f1_cloudy,baseline_f1_rainy,baseline_f1_snowy,baseline_f1_sunny,biased_f1_cloudy,biased_f1_rainy,biased_f1_snowy,biased_f1_sunny,changed_count,corrected_count,regressed_count,changed_wrong_to_wrong_count,baseline_confusion_matrix,biased_confusion_matrix
seed42,0.939197,0.948612,0.009415,0.000000,0.150000,0.350000,-0.900000,0.948335,0.920455,0.930818,0.957179,0.952164,0.937853,0.945455,0.958974,19,12,7,0,"413,4,2,18;6,81,1,1;3,2,74,2;12,0,1,380","418,4,3,12;5,83,1,0;1,1,78,1;17,0,2,374"
train2025,0.930868,0.941420,0.010553,0.000000,0.900000,-0.350000,0.000000,0.947489,0.896552,0.925000,0.954430,0.949657,0.917127,0.941935,0.956962,11,8,3,0,"415,4,2,16;7,78,2,2;3,2,74,2;14,1,1,377","415,6,0,16;4,83,1,1;4,2,73,2;14,1,0,378"
train3407,0.927835,0.937564,0.009729,0.000000,-0.250000,-1.000000,-0.650000,0.943613,0.912088,0.900000,0.955640,0.948689,0.923077,0.923077,0.955414,9,7,2,0,"410,7,6,14;4,83,1,1;3,2,72,4;15,1,0,377","416,6,3,12;4,84,0,1;3,2,72,4;17,1,0,375"
